Feedback ID,Date,Source,Customer Type,Feedback Summary,Related Ticket ID,Documentation Signal,Notes for Writer
SF-001,21/04/2026,Support ticket,Small SaaS company,"Agents say it is difficult to find the right saved reply because their workspace has more than 200 approved responses across billing, onboarding, and troubleshooting topics.",DP-2401,Supports release note value for saved reply folders.,Useful evidence for explaining why folders matter. Avoid mentioning exact customer details.
SF-002,23/04/2026,Customer success call,Online retailer,"Team leads want a better way to organise seasonal saved replies for returns, delivery delays, and promotions.",DP-2401,Supports KB examples for folder use cases.,"Could inform help article examples, such as organising replies by topic or workflow."
SF-003,25/04/2026,Support ticket,Training provider,Agents often open several previous tickets before replying because they cannot quickly see recent customer history from the profile page.,DP-2402,Supports customer profile timeline feature.,Good customer-impact signal. Use to frame the timeline as reducing context switching.
SF-004,26/04/2026,Support ticket,IT service provider,Support team reports that slow ticket search makes it harder to respond quickly during outage periods.,DP-2403,Supports faster search improvement.,Use cautiously. Do not imply outage-specific functionality changed.
SF-005,27/04/2026,Product feedback form,Professional services firm,Agents sometimes miss SLA due times because key ticket details are spread across different parts of the ticket view.,DP-2404,Supports redesigned ticket details panel.,"Good reason to mention easier scanning of priority, status, assignee, tags, and SLA details."
SF-006,29/04/2026,Customer success call,Small SaaS company,"Team leads want to identify tickets that waited too long for a first response, not just tickets that breached SLA.",DP-2405,Supports first response time report filter.,Useful for explaining reporting value. Confirm wording around first response time.
SF-007,1/05/2026,Support ticket,Remote support team,Agents in different time zones see different SLA due times and are unsure which deadline is correct.,DP-2406,Supports SLA timezone display fix.,Important customer-impact signal. Release note should clarify workspace timezone behaviour.
SF-008,2/05/2026,Support ticket,Subscription business,"After merging duplicate customer requests, agents sometimes see repeated tags and are unsure whether the ticket was merged correctly.",DP-2407,Supports duplicate tag bug fix.,Minor fix but customer-facing. Brief release note is enough.
SF-009,3/05/2026,Support ticket,Healthcare admin team,Agents using saved replies with bullet lists need to manually fix spacing before sending responses.,DP-2408,Supports saved reply formatting fix.,Good practical impact. Avoid overexplaining.
SF-010,4/05/2026,Customer advisory group,Online retailer,Admins want operations leads to manage automation rules but do not want to give them full access to workspace settings.,DP-2409,Supports separate automation management permission.,Strong support signal. Useful for release notes and permissions documentation.
SF-011,5/05/2026,Support ticket,Equipment hire company,Admins are confused about which users can edit automation rules and where those permissions are controlled.,DP-2409,Supports KB update for permissions and automations.,"Good evidence for help article update, not just release notes."
SF-012,6/05/2026,Support ticket,Training provider,"Large report exports sometimes take several minutes, and users are unsure whether the export has failed.",DP-2410,Supports known issue communication.,Include expectation-setting wording. Consider documentation note explaining background processing.
