WBS ID,Phase,Task Name,Description,Estimated Effort,Status,Notes,Next Action
1R,Scope revision,Revise project scope,Update the project scope from an AI-assisted release notes workflow to an AI-assisted release documentation triage workflow.,30 mins,Complete,Reflects the new workflow where AI generates the release contents list from messy inputs.,Update Overview tab.
1.1R,Scope revision,Revise project goal and success criteria,"Update goal, scope, success criteria, in-scope, and out-of-scope items for the revised workflow.",30 mins,Complete,"Project now demonstrates release discovery, triage, release notes, KB planning, and validation.",Update workbook Overview.
1.2R,Scope revision,Create revised project folder structure,Create a new project folder and archive the old baseline workflow separately.,45 mins,Complete,Revised folder structure created for the simplified release documentation triage workflow.,Save generated release contents in 02-ai-processing.
2R,Product and release design,Define fictional product context,"Define DeskPilot as a fictional SaaS customer support platform, including users, customer types, and release context.",1 hour,Complete,"DeskPilot product context defined for use across source inputs, prompts, and case study.",Create fictional release source inputs.
3R,Source input design,Create fictional Jira tickets,"Create realistic Jira-style tickets for DeskPilot 2.4, including features, improvements, fixes, admin updates, and known issues.",1.5 hours,Complete,Jira tickets created as messy source material for the AI triage workflow. AI assisted with this task.,Create feature notes.
3.1R,Source input design,Create fictional feature notes,"Create rough product-manager style notes for major release items, customer value, and writer flags.",1 hour,Complete,Feature notes created to provide product context and validation caveats.,Create Git commit log.
3.2R,Source input design,Create fictional Git commit log,Create realistic commit-style entries with a mix of customer-facing changes and internal technical noise.,1 hour,Complete,Git commits created to test whether AI can separate customer-facing changes from implementation detail.,Create support feedback.
3.3R,Source input design,Create fictional support feedback,Create support/customer feedback records linked to release issues and documentation signals.,1 hour,Complete,Support feedback created to show customer impact and KB update signals.,Run P-000 to generate release contents.
5R,Workflow design,Design revised AI-assisted triage workflow,"Define simplified workflow: messy inputs, generated release contents, writer validation, draft release notes, KB plan, validation, final outputs.",1 hour,Draft complete,Workflow has been discussed and simplified.,Record revised workflow table.
5.1R,Workflow design,Update Prompt Log for revised workflow,"Keep P-000, P-003, P-004, and P-005. Archive P-001 and P-002 as baseline prompts.",30 mins,Complete,Prompt Log needs to match simplified workflow.,Update Prompt Log.
5.2R,Workflow design,Update workflow diagrams,"Update Mermaid flowchart and sequence diagram to include P-000, P-003, P-004, and P-005.",30 mins,Draft complete,Updated diagrams drafted in conversation.,Add diagrams to case study.
6R,AI processing outputs,Run P-000 to generate release contents,"Use messy inputs only: Jira tickets, feature notes, Git commits, support feedback. Generate release contents from source inputs.",45 mins,Complete,Completed in Claude. Output generated as Word document/table.,Save output as generated-release-contents.md or csv.
6.1R,AI processing outputs,Save generated release contents,Save Claude-generated release contents in the new repo under 02-ai-processing.,30 mins,Complete,Generated release contents saved as project artefact. Use generated-release-contents.md ,Create release contents validation notes.
